,Unnamed: 0,BookID,OsisID,BookName,TotalChapters,Volume,BookCategory,BookCategoryStricter,TestamentNumber,TotalWordsKJV,ThousandWords,ScaledTotalWordsKJV,ScaledTotalChapters,ReadingGroupID
0,0,1,Gen,Genesis,50,OT,1,1,0,38262,38.3,0.8958977240797977,0.3333333333333333,2
1,1,2,Exod,Exodus,40,OT,1,1,0,32685,32.7,0.7653132902500702,0.26666666666666666,4
2,2,3,Lev,Leviticus,27,OT,1,1,0,24541,24.5,0.5746230214479723,0.18,1
3,3,4,Num,Numbers,36,OT,1,1,0,32896,32.9,0.770253816615154,0.24,4
4,4,5,Deut,Deuteronomy,34,OT,1,1,0,28352,28.4,0.6638568886391308,0.22666666666666666,1
5,5,6,Josh,Joshua,24,OT,1,0,0,18854,18.9,0.4414629577596703,0.16,4
6,6,7,Judg,Judges,21,OT,1,0,0,18966,19.0,0.4440854172520371,0.14,0
7,7,8,Ruth,Ruth,4,OT,1,0,0,2574,2.6,0.060269738690643435,0.02666666666666667,3
8,8,9,1Sam,1 Samuel,31,OT,1,3,0,25048,25.0,0.5864943336143111,0.20666666666666667,5
9,9,10,2Sam,2 Samuel,24,OT,1,3,0,20600,20.6,0.4823452280603165,0.16,0
10,10,11,1Kgs,1 Kings,22,OT,1,4,0,24513,24.5,0.5739674065748805,0.14666666666666667,0
11,11,12,2Kgs,2 Kings,25,OT,1,4,0,23517,23.5,0.5506462489463333,0.16666666666666666,0
12,12,13,1Chr,1 Chronicles,29,OT,1,5,0,20365,20.4,0.4768427460897256,0.19333333333333333,0
13,13,14,2Chr,2 Chronicles,36,OT,1,5,0,26069,26.1,0.6104008616652618,0.24,1
14,14,15,Ezra,Ezra,10,OT,1,0,0,7440,7.4,0.17420623770722113,0.06666666666666668,3
15,15,16,Neh,Nehemiah,13,OT,1,0,0,10480,10.5,0.245387281071462,0.08666666666666667,3
16,16,17,Esth,Esther,10,OT,1,0,0,5633,5.6,0.13189566357591084,0.06666666666666668,2
17,17,18,Job,Job,42,OT,2,0,0,18098,18.1,0.42376135618619465,0.28,2
18,18,19,Ps,Psalms,150,OT,2,0,0,42708,42.7,1.0,1.0,3
19,19,20,Prov,Proverbs,31,OT,2,0,0,15038,15.0,0.3521120164840311,0.20666666666666667,1
20,20,21,Eccl,Ecclesiastes,12,OT,2,0,0,5579,5.6,0.13063126346351972,0.08,2
21,21,22,Song,Song of Solomon,8,OT,2,0,0,2658,2.7,0.062236583309918526,0.05333333333333334,4
22,22,23,Isa,Isaiah,66,OT,3,0,0,37036,37.0,0.8671911585651401,0.44,2
23,23,24,Jer,Jeremiah,52,OT,3,0,0,42654,42.7,0.9987355998876088,0.3466666666666667,5
24,24,25,Lam,Lamentations,5,OT,2,0,0,3411,3.4,0.07986794043270581,0.03333333333333333,0
25,25,26,Ezek,Ezekiel,48,OT,3,0,0,39401,39.4,0.922567200524492,0.32,4
26,26,27,Dan,Daniel,12,OT,3,0,0,11602,11.6,0.271658705628922,0.08,0
27,27,28,Hos,Hosea,14,OT,3,0,0,5174,5.2,0.12114826262058633,0.09333333333333334,1
28,28,29,Joel,Joel,3,OT,3,0,0,2033,2.0,0.0476023227498361,0.02,0
29,29,30,Amos,Amos,9,OT,3,0,0,4216,4.2,0.09871686803409198,0.06,2
30,30,31,Obad,Obadiah,1,OT,3,0,0,669,0.7,0.015664512503512223,0.006666666666666667,1
31,31,32,Jonah,Jonah,4,OT,3,0,0,1320,1.3,0.030907558302894076,0.02666666666666667,5
32,32,33,Mic,Micah,7,OT,3,0,0,3152,3.2,0.07380350285660768,0.04666666666666667,0
33,33,34,Nah,Nahum,3,OT,3,0,0,1284,1.3,0.030064624894633324,0.02,4
34,34,35,Hab,Habakkuk,3,OT,3,0,0,1475,1.5,0.03453685492179452,0.02,4
35,35,36,Zeph,Zephaniah,3,OT,3,0,0,1616,1.6,0.037838344104149116,0.02,2
36,36,37,Hag,Haggai,2,OT,3,0,0,1130,1.1,0.026458743092629012,0.013333333333333334,4
37,37,38,Zech,Zechariah,14,OT,3,0,0,6443,6.4,0.15086166526177766,0.09333333333333334,5
38,38,39,Mal,Malachi,4,OT,3,0,0,1781,1.8,0.04170178889201088,0.02666666666666667,2
39,39,40,Matt,Matthew,28,NT,4,0,1,23684,23.7,0.5545565233679872,0.18666666666666668,5
40,40,41,Mark,Mark,16,NT,4,0,1,15166,15.2,0.35510911304673604,0.10666666666666667,1
41,41,42,Luke,Luke,24,NT,4,0,1,25939,25.9,0.6073569354687647,0.16,4
42,42,43,John,John,21,NT,4,0,1,19094,19.1,0.447082513814742,0.14,0
43,43,44,Acts,Acts,28,NT,4,0,1,24245,24.2,0.5676922356467172,0.18666666666666668,5
44,44,45,Rom,Romans,16,NT,5,0,1,9422,9.4,0.2206144047953545,0.10666666666666667,0
45,45,46,1Cor,1 Corinthians,16,NT,5,6,1,9462,9.5,0.22155099747119975,0.10666666666666667,5
46,46,47,2Cor,2 Corinthians,13,NT,5,6,1,6065,6.1,0.1420108644750398,0.08666666666666667,4
47,47,48,Gal,Galatians,6,NT,5,0,1,3084,3.1,0.07221129530767069,0.04,2
48,48,49,Eph,Ephesians,6,NT,5,0,1,3022,3.0,0.07075957666011051,0.04,0
49,49,50,Phil,Philippians,4,NT,5,0,1,2183,2.2,0.05111454528425588,0.02666666666666667,2
50,50,51,Col,Colossians,4,NT,5,0,1,1979,2.0,0.046337922637444975,0.02666666666666667,2
51,51,52,1Thess,1 Thessalonians,5,NT,5,7,1,1837,1.8,0.04301301863819425,0.03333333333333333,3
52,52,53,2Thess,2 Thessalonians,3,NT,5,7,1,1022,1.0,0.023929942867846773,0.02,0
53,53,54,1Tim,1 Timothy,6,NT,5,8,1,2244,2.2,0.052542849114919916,0.04,3
54,54,55,2Tim,2 Timothy,4,NT,5,8,1,1666,1.7,0.0390090849489557,0.02666666666666667,5
55,55,56,Titus,Titus,3,NT,5,0,1,896,0.9,0.02097967593893416,0.02,5
56,56,57,Phim,Philemon,1,NT,5,0,1,430,0.4,0.010068371265336705,0.006666666666666667,4
57,57,58,Heb,Hebrews,13,NT,5,0,1,6897,6.9,0.16149199213262153,0.08666666666666667,0
58,58,59,Jas,James,5,NT,5,0,1,2304,2.3,0.05394773812868783,0.03333333333333333,2
59,59,60,1Pet,1 Peter,5,NT,5,9,1,2476,2.5,0.05797508663482252,0.03333333333333333,1
60,60,61,2Pet,2 Peter,3,NT,5,9,1,1553,1.6,0.0363632106396928,0.02,1
61,61,62,1John,1 John,5,NT,5,10,1,2517,2.5,0.058935094127563925,0.03333333333333333,0
62,62,63,2John,2 John,1,NT,5,10,1,298,0.3,0.006977615435047298,0.006666666666666667,4
63,63,64,3John,3 John,1,NT,5,10,1,294,0.3,0.00688395616746277,0.006666666666666667,0
64,64,65,Jude,Jude,1,NT,5,0,1,608,0.6,0.014236208672848178,0.006666666666666667,2
65,65,66,Rev,Revelation,22,NT,4,0,1,11995,12.0,0.28086072866910183,0.14666666666666667,3
